pelanggan_id,nama_pelanggan,kota,tanggal_daftar,segmen
P00451,Dian Aditya,Jakarta Barat,2025-07-20,Reguler
P00452,Lukman Wijaya,Makassar,2024-09-28,Reguler
P00453,Lukman Lestari,Yogyakarta,2023-07-10,Reguler
P00454,Tono Hartono,Tangerang Selatan,2023-08-03,Member
P00455,Bayu Firmansyah,Makassar,2025-05-22,Reguler
P00456,Sari Maulana,Surabaya,2024-07-20,Member
P00457,Joko Puspita,Tangerang Selatan,2023-05-04,Reguler
P00458,Bayu Anggraini,Bandung,2025-01-14,Reguler
P00459,Zaki Nugroho,Bekasi,2023-07-08,Premium
P00460,Hana Maulana,Bekasi,2024-04-21,Member
P00461,Zaki Wijaya,Denpasar,2023-08-09,Member
P00462,Nanda Gunawan,Surabaya,2025-04-10,Reguler
P00463,Mila Suryani,Bandung,2023-07-24,Member
P00464,Rangga Wijaya,Denpasar,2024-02-27,Reguler
P00465,Maya Permana,Jakarta Barat,2024-10-10,Member
P00466,Citra Saputra,Tangerang Selatan,2024-07-17,Member
P00467,Lestari Anggraini,Jakarta Barat,2025-04-11,Member
P00468,Rangga Hartono,Bandung,2023-09-18,Premium
P00469,Wahyu Hartono,Depok,2023-09-29,Reguler
P00470,Kartika Saputra,Jakarta Selatan,2024-11-07,Premium
P00471,Irfan Kusuma,Surabaya,2023-02-07,Member
P00472,Irfan Kusuma,Depok,2023-08-22,Reguler
P00473,Joko Lestari,Surabaya,2025-07-13,Reguler
P00474,Kartika Suryani,Tangerang Selatan,2025-06-14,Reguler
P00475,Yanti Permana,Yogyakarta,2024-04-30,Reguler
P00476,Kartika Maulana,Semarang,2023-02-21,Member
P00477,Hana Rahayu,Jakarta Selatan,2024-10-15,Reguler
P00478,Gita Maulana,Bandung,2025-09-23,Member
P00479,Bayu Ramadhan,Depok,2025-08-05,Reguler
P00480,Lestari Ramadhan,Bandung,2024-11-28,Reguler
P00481,Wahyu Saputra,Yogyakarta,2023-03-21,Premium
P00482,Indra Saputra,Tangerang Selatan,2025-07-05,Reguler
P00483,Wahyu Rahayu,Surabaya,2024-03-26,Reguler
P00484,Vina Halim,Bandung,2024-12-29,Member
P00485,Kartika Nugroho,Bekasi,2024-07-03,Reguler
P00486,Lestari Halim,Jakarta Barat,2024-04-27,Reguler
P00487,Yanti Kusuma,Bekasi,2024-11-17,Reguler
P00488,Wahyu Ramadhan,Bekasi,2025-08-06,Member
P00489,Maya Ramadhan,Surabaya,2025-04-16,Reguler
P00490,Kirana Santoso,Semarang,2023-12-15,Member
P00491,Jihan Lestari,Bandung,2023-08-19,Premium
P00492,Budi Suryani,Bekasi,2024-09-12,Premium
P00493,Lukman Gunawan,Yogyakarta,2025-04-06,Member
P00494,Maya Puspita,Bekasi,2025-05-21,Premium
P00495,Kartika Firmansyah,Jakarta Selatan,2024-02-17,Member
P00496,Hesti Nugroho,Bekasi,2024-10-02,Premium
P00497,Hana Ramadhan,Tangerang Selatan,2025-09-24,Premium
P00498,Okta Halim,Malang,2025-08-11,Reguler
P00499,Fajar Anggraini,Jakarta Barat,2023-08-29,Reguler
P00500,Irfan Firmansyah,Jakarta Selatan,2023-02-10,Reguler
P00501,Indra Pratama,Semarang,2025-09-08,Reguler
P00502,Budi Santoso,Denpasar,2023-04-24,Member
P00503,Yanti Puspita,Bandung,2025-09-09,Reguler
P00504,Citra Gunawan,Makassar,2024-09-09,Reguler
P00505,Naufal Gunawan,Jakarta Barat,2024-08-10,Reguler
P00506,Galih Anggraini,Malang,2024-05-27,Reguler
P00507,Vina Setiawan,Jakarta Selatan,2024-03-19,Reguler
P00508,Joko Permana,Tangerang Selatan,2023-03-29,Reguler
P00509,Bayu Anggraini,Depok,2023-09-22,Reguler
P00510,Kirana Halim,Jakarta Selatan,2025-09-12,Reguler
P00511,Dian Puspita,Tangerang Selatan,2024-01-01,Reguler
P00512,Adi Santoso,Tangerang Selatan,2025-03-13,Reguler
P00513,Jihan Gunawan,Semarang,2025-05-19,Premium
P00514,Rangga Halim,Makassar,2024-08-25,Reguler
P00515,Oki Wijaya,Jakarta Selatan,2023-11-01,Reguler
P00516,Indra Saputra,Jakarta Selatan,2023-08-21,Reguler
P00517,Lestari Maulana,Makassar,2024-06-18,Reguler
P00518,Adi Halim,Yogyakarta,2024-05-18,Premium
P00519,Yanti Setiawan,Makassar,2025-08-30,Reguler
P00520,Wahyu Aditya,Denpasar,2024-08-01,Reguler
P00521,Yanti Aditya,Bandung,2023-08-22,Member
P00522,Maya Kusuma,Tangerang Selatan,2024-04-06,Reguler
P00523,Jihan Santoso,Yogyakarta,2023-11-26,Premium
P00524,Okta Firmansyah,Depok,2023-04-02,Reguler
P00525,Hesti Puspita,Jakarta Barat,2024-09-21,Reguler
P00526,Galih Saputra,Malang,2024-07-06,Reguler
P00527,Dian Halim,Bandung,2023-04-30,Reguler
P00528,Sari Firmansyah,Bekasi,2024-05-22,Reguler
P00529,Oki Wijaya,Yogyakarta,2024-12-17,Reguler
P00530,Mila Santoso,Semarang,2024-04-12,Member
P00531,Udin Permana,Surabaya,2023-11-06,Member
P00532,Dian Wijaya,Bekasi,2023-01-26,Premium
P00533,Putri Nugroho,Depok,2025-01-08,Reguler
P00534,Maya Hartono,Malang,2024-10-08,Member
P00535,Indra Ramadhan,Semarang,2023-04-21,Premium
P00536,Hesti Pratama,Bekasi,2023-09-11,Premium
P00537,Tono Santoso,Surabaya,2025-08-05,Reguler
P00538,Indra Wijaya,Depok,2024-04-21,Member
P00539,Putri Aditya,Semarang,2025-03-01,Reguler
P00540,Tono Ramadhan,Jakarta Selatan,2025-07-30,Premium
P00541,Zaki Anggraini,Malang,2024-08-03,Member
P00542,Citra Aditya,Jakarta Selatan,2025-04-25,Reguler
P00543,Eka Gunawan,Bandung,2025-05-26,Reguler
P00544,Adi Aditya,Depok,2024-10-24,Reguler
P00545,Lukman Nugroho,Bandung,2025-08-17,Reguler
P00546,Tono Maulana,Surabaya,2025-01-24,Premium
P00547,Jihan Anggraini,Yogyakarta,2025-05-07,Reguler
P00548,Indra Halim,Jakarta Barat,2024-11-22,Member
P00549,Zaki Saputra,Depok,2024-01-01,Member
P00550,Joko Pratama,Malang,2025-08-22,Member
P00551,Hesti Rahayu,Jakarta Barat,2024-03-24,Member
P00552,Irfan Hartono,Surabaya,2024-06-24,Member
P00553,Eka Saputra,Surabaya,2023-11-27,Reguler
P00554,Tono Ramadhan,Malang,2024-11-17,Member
P00555,Hana Lestari,Jakarta Selatan,2023-12-30,Reguler
P00556,Udin Kusuma,Surabaya,2025-03-13,Reguler
P00557,Zaki Kusuma,Bekasi,2023-02-28,Reguler
P00558,Udin Aditya,Surabaya,2024-06-09,Reguler
P00559,Bayu Puspita,Bandung,2025-01-16,Reguler
P00560,Citra Halim,Malang,2024-01-18,Reguler
P00561,Hesti Lestari,Tangerang Selatan,2025-04-10,Reguler
P00562,Irfan Firmansyah,Bandung,2023-06-21,Reguler
P00563,Bayu Suryani,Denpasar,2025-08-12,Reguler
P00564,Maya Rahayu,Bandung,2025-07-03,Reguler
P00565,Hesti Ramadhan,Jakarta Selatan,2023-03-31,Member
P00566,Lestari Aditya,Tangerang Selatan,2024-10-18,Reguler
P00567,Nanda Maulana,Malang,2023-06-08,Member
P00568,Kirana Nugroho,Bekasi,2023-11-29,Reguler
P00569,Maya Nugroho,Tangerang Selatan,2024-02-02,Member
P00570,Mila Nugroho,Jakarta Barat,2023-06-05,Member
P00571,Maya Suryani,Bandung,2025-04-21,Reguler
P00572,Eka Gunawan,Surabaya,2024-02-25,Reguler
P00573,Putri Nugroho,Semarang,2023-12-02,Member
P00574,Citra Saputra,Surabaya,2023-09-15,Reguler
P00575,Oki Saputra,Malang,2025-05-13,Reguler
P00576,Hana Hartono,Tangerang Selatan,2025-09-13,Reguler
P00577,Kartika Firmansyah,Bekasi,2024-01-24,Reguler
P00578,Dian Anggraini,Denpasar,2024-08-02,Reguler
P00579,Putri Setiawan,Depok,2025-03-15,Reguler
P00580,Farah Ramadhan,Denpasar,2024-03-22,Reguler
P00581,Kirana Aditya,Bekasi,2024-02-16,Member
P00582,Oki Hartono,Depok,2023-08-09,Reguler
P00583,Zaki Lestari,Jakarta Selatan,2025-08-25,Reguler
P00584,Irfan Ramadhan,Makassar,2025-01-01,Reguler
P00585,Fajar Kusuma,Bandung,2025-09-25,Member
P00586,Nanda Permana,Makassar,2023-07-08,Member
P00587,Irfan Maulana,Surabaya,2025-01-24,Premium
P00588,Maya Kusuma,Malang,2024-12-06,Reguler
P00589,Dian Kusuma,Bekasi,2025-06-12,Premium
P00590,Hana Wijaya,Jakarta Selatan,2023-06-02,Reguler
P00591,Putri Permana,Semarang,2025-01-17,Premium
P00592,Naufal Pratama,Bandung,2025-09-13,Reguler
P00593,Rangga Aditya,Surabaya,2023-01-24,Member
P00594,Lukman Kusuma,Jakarta Barat,2025-06-19,Member
P00595,Rangga Pratama,Bandung,2024-02-02,Member
P00596,Mila Firmansyah,Semarang,2023-12-10,Premium
P00597,Rangga Ramadhan,Jakarta Selatan,2024-11-01,Reguler
P00598,Irfan Halim,Yogyakarta,2024-07-16,Member
P00599,Maya Ramadhan,Jakarta Selatan,2025-08-12,Reguler
P00600,Dian Suryani,Surabaya,2024-05-10,Reguler
P00601,Lukman Rahayu,Makassar,2023-03-04,Premium
P00602,Hesti Permana,Depok,2025-04-23,Reguler
P00603,Bayu Firmansyah,Jakarta Barat,2024-09-23,Member
P00604,Yanti Nugroho,Tangerang Selatan,2024-12-27,Reguler
P00605,Lestari Halim,Jakarta Barat,2025-03-26,Reguler
P00606,Eka Lestari,Surabaya,2024-10-01,Reguler
P00607,Kartika Hartono,Depok,2025-08-05,Reguler
P00608,Zaki Anggraini,Jakarta Barat,2023-11-12,Reguler
P00609,Farah Hartono,Bekasi,2024-10-19,Reguler
P00610,Wahyu Gunawan,Malang,2024-07-28,Member
P00611,Eka Maulana,Jakarta Barat,2023-11-25,Member
P00612,Kirana Suryani,Yogyakarta,2023-03-24,Reguler
P00613,Sari Suryani,Yogyakarta,2024-02-20,Member
P00614,Yanti Lestari,Surabaya,2024-12-15,Member
P00615,Galih Gunawan,Bekasi,2023-11-18,Reguler
P00616,Irfan Saputra,Jakarta Selatan,2025-04-25,Reguler
P00617,Hana Wijaya,Jakarta Selatan,2023-09-03,Member
P00618,Maya Kusuma,Makassar,2025-03-06,Reguler
P00619,Indra Wijaya,Semarang,2023-06-20,Reguler
P00620,Joko Maulana,Surabaya,2024-09-14,Reguler
P00621,Farah Rahayu,Malang,2023-01-10,Reguler
P00622,Indra Anggraini,Depok,2024-01-02,Member
P00623,Lestari Suryani,Jakarta Barat,2025-08-10,Member
P00624,Lukman Saputra,Semarang,2023-02-09,Reguler
P00625,Indra Hartono,Makassar,2023-12-28,Reguler
P00626,Vina Anggraini,Semarang,2023-06-20,Reguler
P00627,Oki Santoso,Depok,2024-04-15,Reguler
P00628,Udin Puspita,Malang,2024-08-04,Reguler
P00629,Mila Puspita,Jakarta Selatan,2024-07-19,Reguler
P00630,Dewi Pratama,Bekasi,2025-08-19,Reguler
P00631,Wahyu Kusuma,Jakarta Barat,2024-11-07,Member
P00632,Vina Ramadhan,Jakarta Barat,2024-08-06,Reguler
P00633,Kartika Lestari,Jakarta Selatan,2023-02-03,Member
P00634,Dian Anggraini,Malang,2025-02-03,Reguler
P00635,Putri Firmansyah,Denpasar,2024-11-08,Reguler
P00636,Putri Lestari,Bandung,2023-11-29,Reguler
P00637,Sari Hartono,Tangerang Selatan,2023-10-21,Member
P00638,Bayu Kusuma,Depok,2025-01-14,Member
P00639,Fajar Saputra,Surabaya,2025-08-06,Reguler
P00640,Rangga Permana,Jakarta Barat,2025-06-09,Reguler
P00641,Hana Suryani,Tangerang Selatan,2023-07-11,Member
P00642,Fajar Setiawan,Bekasi,2023-09-27,Premium
P00643,Citra Santoso,Tangerang Selatan,2023-09-06,Member
P00644,Irfan Halim,Tangerang Selatan,2023-08-21,Reguler
P00645,Mila Kusuma,Jakarta Selatan,2024-02-28,Premium
P00646,Sari Pratama,Jakarta Selatan,2024-09-06,Reguler
P00647,Udin Permana,Semarang,2025-03-24,Member
P00648,Nanda Nugroho,Jakarta Selatan,2023-04-28,Reguler
P00649,Fajar Suryani,Jakarta Selatan,2023-12-10,Reguler
P00650,Kirana Saputra,Malang,2025-07-18,Member
P00651,Jihan Santoso,Depok,2025-09-14,Reguler
P00652,Eka Anggraini,Tangerang Selatan,2023-09-14,Member
P00653,Kirana Rahayu,Bandung,2023-12-13,Reguler
P00654,Rangga Rahayu,Surabaya,2023-10-22,Member
P00655,Irfan Maulana,Jakarta Selatan,2024-06-17,Reguler
P00656,Dian Rahayu,Makassar,2024-10-21,Premium
P00657,Bayu Permana,Surabaya,2023-10-10,Reguler
P00658,Indra Suryani,Malang,2025-07-21,Premium
P00659,Lestari Saputra,Bekasi,2023-10-14,Reguler
P00660,Maya Anggraini,Surabaya,2024-02-14,Reguler
P00661,Joko Wijaya,Jakarta Barat,2025-09-22,Reguler
P00662,Joko Lestari,Surabaya,2024-11-07,Reguler
P00663,Sari Ramadhan,Jakarta Selatan,2024-07-29,Premium
P00664,Bayu Hartono,Surabaya,2023-07-15,Member
P00665,Vina Aditya,Malang,2024-03-15,Member
P00666,Lestari Suryani,Depok,2023-07-09,Member
P00667,Citra Anggraini,Bandung,2024-09-16,Reguler
P00668,Yanti Kusuma,Depok,2024-02-23,Member
P00669,Hesti Ramadhan,Bandung,2024-04-28,Member
P00670,Udin Saputra,Depok,2025-01-02,Member
P00671,Tono Nugroho,Bekasi,2024-09-10,Member
P00672,Putri Hartono,Makassar,2024-01-15,Reguler
P00673,Yanti Maulana,Depok,2023-01-29,Premium
P00674,Rangga Santoso,Malang,2024-09-07,Reguler
P00675,Yanti Lestari,Bekasi,2023-05-16,Reguler
P00676,Dian Saputra,Surabaya,2025-06-22,Reguler
P00677,Putri Ramadhan,Bekasi,2024-05-26,Reguler
P00678,Jihan Wijaya,Tangerang Selatan,2025-09-22,Reguler
P00679,Okta Wijaya,Jakarta Selatan,2023-09-08,Reguler
P00680,Dewi Anggraini,Makassar,2024-07-03,Reguler
P00681,Hesti Lestari,Yogyakarta,2025-06-28,Reguler
P00682,Oki Gunawan,Bandung,2023-03-09,Member
P00683,Joko Hartono,Depok,2024-03-07,Reguler
P00684,Citra Rahayu,Malang,2024-12-22,Member
P00685,Indra Santoso,Bekasi,2025-02-21,Reguler
P00686,Maya Puspita,Bekasi,2024-07-19,Reguler
P00687,Hesti Maulana,Surabaya,2025-09-14,Reguler
P00688,Naufal Nugroho,Depok,2023-02-21,Reguler
P00689,Oki Suryani,Jakarta Barat,2023-05-24,Reguler
P00690,Gita Ramadhan,Bandung,2024-06-15,Reguler
P00691,Dian Gunawan,Tangerang Selatan,2024-07-03,Premium
P00692,Gita Maulana,Semarang,2025-03-12,Reguler
P00693,Adi Setiawan,Bandung,2024-12-30,Reguler
P00694,Lestari Kusuma,Jakarta Selatan,2025-08-20,Reguler
P00695,Adi Saputra,Surabaya,2023-10-29,Reguler
P00696,Indra Maulana,Tangerang Selatan,2024-12-23,Member
P00697,Fajar Hartono,Jakarta Selatan,2023-04-26,Member
P00698,Yanti Ramadhan,Semarang,2024-07-16,Member
P00699,Vina Hartono,Jakarta Selatan,2024-09-08,Reguler
P00700,Bayu Pratama,Makassar,2025-02-03,Reguler
P00701,Budi Aditya,Yogyakarta,2023-01-31,Reguler
P00702,Vina Ramadhan,Malang,2023-09-12,Reguler
P00703,Vina Hartono,Denpasar,2025-03-25,Reguler
P00704,Hesti Gunawan,Tangerang Selatan,2023-08-22,Reguler
P00705,Galih Suryani,Tangerang Selatan,2023-02-19,Reguler
P00706,Irfan Permana,Malang,2025-09-23,Member
P00707,Jihan Saputra,Jakarta Selatan,2025-01-04,Reguler
P00708,Joko Hartono,Bekasi,2025-08-02,Reguler
P00709,Kirana Setiawan,Jakarta Barat,2024-12-19,Premium
P00710,Eka Suryani,Bekasi,2023-09-17,Member
P00711,Dewi Suryani,Tangerang Selatan,2024-07-26,Reguler
P00712,Hesti Setiawan,Malang,2024-08-20,Reguler
P00713,Galih Lestari,Tangerang Selatan,2025-05-29,Member
P00714,Indra Hartono,Depok,2023-12-19,Reguler
P00715,Kirana Wijaya,Jakarta Selatan,2024-10-29,Reguler
P00716,Putri Puspita,Malang,2023-10-01,Member
P00717,Hesti Hartono,Malang,2024-03-23,Premium
P00718,Vina Wijaya,Tangerang Selatan,2023-09-10,Reguler
P00719,Lukman Lestari,Bandung,2025-04-04,Member
P00720,Oki Setiawan,Yogyakarta,2025-08-25,Member
P00721,Udin Setiawan,Surabaya,2023-07-08,Premium
P00722,Bayu Wijaya,Malang,2024-06-22,Member
P00723,Zaki Santoso,Surabaya,2023-11-19,Reguler
P00724,Mila Puspita,Bekasi,2024-09-17,Reguler
P00725,Hesti Maulana,Malang,2024-05-12,Member
P00726,Nanda Permana,Bandung,2024-03-07,Reguler
P00727,Oki Wijaya,Surabaya,2023-11-09,Member
P00728,Dewi Anggraini,Semarang,2025-09-20,Reguler
P00729,Naufal Anggraini,Makassar,2025-08-02,Reguler
P00730,Galih Permana,Tangerang Selatan,2025-06-02,Reguler
P00731,Tono Anggraini,Jakarta Selatan,2024-09-05,Member
P00732,Kartika Aditya,Malang,2024-02-05,Member
P00733,Okta Setiawan,Yogyakarta,2025-06-07,Reguler
P00734,Lestari Hartono,Jakarta Barat,2025-01-27,Member
P00735,Zaki Firmansyah,Makassar,2025-08-30,Reguler
P00736,Adi Permana,Tangerang Selatan,2025-01-17,Reguler
P00737,Tono Puspita,Denpasar,2024-12-25,Premium
P00738,Gita Puspita,Bekasi,2024-12-14,Reguler
P00739,Sari Ramadhan,Tangerang Selatan,2025-03-21,Reguler
P00740,Putri Maulana,Jakarta Selatan,2023-01-17,Member
P00741,Citra Maulana,Jakarta Barat,2023-08-08,Reguler
P00742,Mila Hartono,Jakarta Selatan,2023-04-26,Premium
P00743,Farah Maulana,Tangerang Selatan,2025-09-25,Premium
P00744,Rangga Nugroho,Bekasi,2025-08-01,Reguler
P00745,Citra Setiawan,Jakarta Barat,2023-09-15,Member
P00746,Zaki Kusuma,Denpasar,2024-05-03,Reguler
P00747,Wahyu Hartono,Bandung,2025-04-03,Reguler
P00748,Hana Santoso,Bandung,2023-04-16,Reguler
P00749,Hana Permana,Bandung,2023-07-23,Reguler
P00750,Citra Nugroho,Denpasar,2024-05-20,Reguler
P00751,Udin Saputra,Denpasar,2024-02-22,Member
P00752,Maya Santoso,Jakarta Selatan,2023-01-06,Reguler
P00753,Zaki Halim,Depok,2025-09-21,Premium
P00754,Indra Ramadhan,Surabaya,2025-03-14,Member
P00755,Zaki Hartono,Semarang,2025-03-14,Reguler
P00756,Maya Nugroho,Semarang,2023-04-23,Member
P00757,Nanda Nugroho,Jakarta Barat,2025-05-18,Reguler
P00758,Tono Halim,Depok,2023-01-25,Reguler
P00759,Lukman Setiawan,Bandung,2024-04-24,Reguler
P00760,Fajar Setiawan,Bekasi,2024-07-28,Member
P00761,Kartika Santoso,Tangerang Selatan,2023-10-25,Member
P00762,Eka Suryani,Bandung,2025-08-17,Reguler
P00763,Putri Hartono,Jakarta Selatan,2023-07-24,Premium
P00764,Jihan Permana,Makassar,2023-02-03,Reguler
P00765,Naufal Nugroho,Bandung,2023-09-01,Member
P00766,Lukman Halim,Bandung,2025-08-22,Member
P00767,Lukman Pratama,Denpasar,2025-02-02,Member
P00768,Hana Maulana,Jakarta Selatan,2024-11-30,Premium
P00769,Wahyu Saputra,Bandung,2023-02-09,Reguler
P00770,Fajar Hartono,Bandung,2023-08-25,Reguler
P00771,Adi Suryani,Makassar,2024-05-29,Reguler
P00772,Rangga Ramadhan,Bekasi,2025-01-17,Member
P00773,Lestari Kusuma,Bandung,2025-03-16,Reguler
P00774,Zaki Santoso,Denpasar,2023-11-18,Member
P00775,Farah Pratama,Jakarta Barat,2023-12-26,Reguler
P00776,Udin Santoso,Bandung,2023-03-07,Reguler
P00777,Lestari Ramadhan,Bandung,2023-02-03,Reguler
P00778,Tono Permana,Malang,2023-05-24,Reguler
P00779,Lestari Suryani,Tangerang Selatan,2023-05-22,Premium
P00780,Oki Puspita,Depok,2024-02-25,Reguler
P00781,Hesti Pratama,Denpasar,2023-06-28,Reguler
P00782,Hana Pratama,Bekasi,2023-11-06,Member
P00783,Gita Rahayu,Jakarta Barat,2024-05-18,Reguler
P00784,Lestari Rahayu,Malang,2024-05-19,Member
P00785,Dewi Gunawan,Jakarta Barat,2023-06-14,Reguler
P00786,Naufal Lestari,Jakarta Barat,2024-08-19,Reguler
P00787,Zaki Halim,Semarang,2023-08-22,Reguler
P00788,Naufal Halim,Malang,2023-08-20,Reguler
P00789,Rangga Maulana,Makassar,2023-01-16,Reguler
P00790,Hesti Anggraini,Bekasi,2023-01-28,Reguler
P00791,Rangga Saputra,Jakarta Barat,2024-05-20,Member
P00792,Joko Halim,Jakarta Selatan,2023-10-25,Reguler
P00793,Gita Permana,Bandung,2023-02-24,Reguler
P00794,Galih Gunawan,Tangerang Selatan,2024-11-03,Reguler
P00795,Tono Nugroho,Jakarta Barat,2025-05-31,Reguler
P00796,Joko Hartono,Bandung,2023-11-05,Reguler
P00797,Citra Santoso,Surabaya,2025-08-19,Reguler
P00798,Kirana Lestari,Jakarta Selatan,2025-07-04,Reguler
P00799,Okta Pratama,Surabaya,2023-01-04,Reguler
P00800,Galih Nugroho,Tangerang Selatan,2025-03-26,Premium
P00801,Hana Anggraini,Denpasar,2025-01-23,Reguler
P00802,Udin Firmansyah,Bandung,2025-06-30,Reguler
P00803,Yanti Permana,Depok,2023-12-02,Member
P00804,Jihan Aditya,Bekasi,2025-06-18,Member
P00805,Bayu Puspita,Jakarta Barat,2025-02-17,Member
P00806,Adi Anggraini,Jakarta Barat,2025-09-20,Member
P00807,Zaki Setiawan,Jakarta Barat,2024-06-11,Reguler
P00808,Tono Maulana,Yogyakarta,2024-08-01,Member
P00809,Joko Hartono,Tangerang Selatan,2024-10-18,Reguler
P00810,Hesti Suryani,Jakarta Selatan,2023-06-17,Member
P00811,Farah Suryani,Tangerang Selatan,2023-10-28,Reguler
P00812,Maya Rahayu,Jakarta Barat,2024-03-01,Reguler
P00813,Lukman Aditya,Bekasi,2023-07-15,Reguler
P00814,Maya Aditya,Bandung,2023-12-09,Premium
P00815,Fajar Maulana,Denpasar,2024-02-14,Premium
P00816,Vina Setiawan,Semarang,2024-03-18,Reguler
P00817,Tono Gunawan,Bekasi,2025-09-20,Member
P00818,Irfan Ramadhan,Bandung,2024-12-16,Premium
P00819,Budi Firmansyah,Depok,2023-10-05,Member
P00820,Indra Permana,Tangerang Selatan,2025-06-09,Premium
P00821,Naufal Halim,Depok,2025-01-19,Member
P00822,Bayu Hartono,Denpasar,2024-02-05,Reguler
P00823,Nanda Saputra,Depok,2023-04-16,Reguler
P00824,Maya Lestari,Depok,2023-11-15,Reguler
P00825,Kartika Ramadhan,Jakarta Barat,2024-02-19,Member
P00826,Lestari Hartono,Bandung,2025-08-25,Reguler
P00827,Galih Wijaya,Yogyakarta,2024-03-20,Member
P00828,Okta Hartono,Bandung,2024-03-20,Reguler
P00829,Oki Hartono,Jakarta Barat,2025-01-01,Reguler
P00830,Lukman Setiawan,Bekasi,2024-04-05,Member
P00831,Dewi Aditya,Yogyakarta,2023-01-04,Reguler
P00832,Sari Suryani,Tangerang Selatan,2023-07-01,Premium
P00833,Budi Saputra,Surabaya,2023-03-21,Premium
P00834,Maya Rahayu,Malang,2025-06-04,Reguler
P00835,Citra Saputra,Jakarta Selatan,2023-06-25,Member
P00836,Putri Wijaya,Jakarta Selatan,2025-03-24,Reguler
P00837,Yanti Gunawan,Surabaya,2023-07-19,Reguler
P00838,Dewi Halim,Depok,2023-01-13,Reguler
P00839,Wahyu Permana,Bekasi,2025-03-29,Reguler
P00840,Indra Kusuma,Surabaya,2024-04-18,Member
P00841,Putri Kusuma,Semarang,2025-07-10,Member
P00842,Adi Halim,Bekasi,2024-05-21,Premium
P00843,Putri Rahayu,Jakarta Selatan,2024-01-13,Reguler
P00844,Rangga Halim,Jakarta Selatan,2023-06-20,Reguler
P00845,Joko Permana,Bandung,2025-07-08,Member
P00846,Indra Pratama,Malang,2025-05-29,Reguler
P00847,Dewi Gunawan,Jakarta Selatan,2025-09-14,Member
P00848,Hesti Nugroho,Depok,2024-10-11,Reguler
P00849,Farah Rahayu,Bekasi,2024-10-24,Member
P00850,Mila Gunawan,Makassar,2025-08-03,Member
P00851,Lukman Anggraini,Jakarta Barat,2024-05-21,Member
P00852,Putri Gunawan,Tangerang Selatan,2024-01-08,Reguler
P00853,Vina Ramadhan,Surabaya,2024-01-08,Reguler
P00854,Bayu Ramadhan,Surabaya,2025-05-21,Reguler
P00855,Indra Ramadhan,Malang,2025-03-11,Member
P00856,Jihan Maulana,Denpasar,2025-07-26,Reguler
P00857,Jihan Suryani,Surabaya,2025-05-09,Reguler
P00858,Putri Halim,Malang,2023-07-04,Member
P00859,Joko Lestari,Makassar,2025-06-15,Premium
P00860,Galih Kusuma,Depok,2025-04-12,Reguler
P00861,Farah Ramadhan,Denpasar,2025-09-17,Reguler
P00862,Galih Suryani,Surabaya,2025-04-09,Reguler
P00863,Mila Wijaya,Depok,2023-03-30,Reguler
P00864,Naufal Permana,Tangerang Selatan,2024-12-07,Reguler
P00865,Zaki Santoso,Surabaya,2024-03-04,Member
P00866,Wahyu Maulana,Makassar,2025-08-08,Reguler
P00867,Adi Nugroho,Malang,2024-02-14,Reguler
P00868,Irfan Gunawan,Semarang,2025-04-23,Reguler
P00869,Hana Gunawan,Jakarta Selatan,2024-06-06,Reguler
P00870,Eka Anggraini,Semarang,2023-04-05,Member
P00871,Udin Kusuma,Surabaya,2023-02-25,Member
P00872,Gita Rahayu,Jakarta Selatan,2025-05-17,Reguler
P00873,Lestari Puspita,Tangerang Selatan,2025-07-02,Member
P00874,Hana Ramadhan,Jakarta Selatan,2024-01-24,Reguler
P00875,Rangga Kusuma,Bandung,2024-12-19,Reguler
P00876,Gita Rahayu,Bekasi,2025-07-15,Premium
P00877,Naufal Suryani,Bandung,2024-12-05,Premium
P00878,Okta Santoso,Bandung,2024-06-18,Member
P00879,Irfan Firmansyah,Depok,2023-08-21,Reguler
P00880,Dewi Gunawan,Surabaya,2024-05-10,Member
P00881,Jihan Pratama,Makassar,2025-05-01,Reguler
P00882,Kirana Wijaya,Yogyakarta,2025-05-20,Reguler
P00883,Yanti Saputra,Surabaya,2024-06-23,Reguler
P00884,Gita Suryani,Malang,2023-04-16,Member
P00885,Hesti Wijaya,Makassar,2023-07-08,Reguler
P00886,Galih Nugroho,Denpasar,2024-08-24,Reguler
P00887,Jihan Gunawan,Jakarta Barat,2024-11-02,Reguler
P00888,Bayu Setiawan,Depok,2023-12-27,Member
P00889,Sari Puspita,Tangerang Selatan,2024-07-19,Reguler
P00890,Hesti Halim,Jakarta Selatan,2025-03-22,Reguler
P00891,Jihan Halim,Malang,2023-07-29,Reguler
P00892,Nanda Setiawan,Yogyakarta,2023-10-29,Reguler
P00893,Sari Hartono,Bekasi,2024-08-02,Member
P00894,Udin Setiawan,Bandung,2024-02-17,Reguler
P00895,Mila Suryani,Jakarta Barat,2025-05-26,Member
P00896,Sari Pratama,Bandung,2024-09-29,Premium
P00897,Sari Firmansyah,Jakarta Barat,2025-01-02,Reguler
P00898,Indra Setiawan,Semarang,2023-01-19,Reguler
P00899,Indra Saputra,Jakarta Barat,2023-12-02,Reguler
P00900,Hesti Kusuma,Depok,2025-06-16,Member
P00901,Joko Nugroho,Semarang,2023-07-25,Premium
P00902,Joko Lestari,Makassar,2023-07-18,Reguler
